Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value, ,Current Price,+/-Reported Price,52Week Low,52Week High
X-ENERGY INC,0.0329829789714832,Buy 100%,3776201.0,18.359999904666093,69331050.0,,,,,
VISHAY INTERTECHNOLOGY INC,0.03272306723331885,Add 3.83%,26615542.0,2.5843812987163663,68784709.0,,,,,
ALKERMES PLC,0.03270363597162456,Add 84.72%,1312031.0,52.39499981326661,68743864.0,,,,,
VANGUARD INDEX FDS,0.03253276313176423,"Add 23,982.61%",727054.0,94.05722958679823,68384685.0,,,,,
INSULET CORP,0.032471886123496135,Add 235.58%,448320.0,152.25,68256720.0,,,,,
BROOKDALE SR LIVING INC,0.03245366274461349,Add 22.78%,4239802.0,16.08999995754519,68218414.0,,,,,
CANADIAN SOLAR INC,0.03232350778181069,Add 18.84%,4241250.0,16.02,67944825.0,,,,,
PITNEY BOWES INC,0.03231970430678936,Add 84.59%,3877673.0,17.51999975242884,67936830.0,,,,,
FORTUNA MNG CORP,0.03206247379254249,Add 9.40%,7976417.0,8.449423469209295,67396125.0,,,,,
FORMFACTOR INC,0.032059951463016156,Add 73.66%,421377.0,159.92999855236522,67390823.0,,,,,
A10 NETWORKS INC,0.03200879888663184,"Add 10,548.81%",28047577.0,2.398898806838109,67283299.0,,,,,
SOCIEDAD QUIMICA Y MINERA DE,0.031985285371134174,Reduce 4.39%,908075.0,74.04,67233873.0,,,,,
MARRIOTT INTL INC NEW,0.03183668581420359,Reduce 12.30%,180581.0,370.59000116291304,66921513.0,,,,,
ITT INC,0.031828348615986116,Add 113.78%,338309.0,197.76000047294042,66903988.0,,,,,
JETBLUE AIRWAYS CORP,0.03179064592650647,Add 18.26%,30498373.0,2.1910918329971243,66824736.0,,,,,
HP INC,0.0316950719017024,Add 52.05%,3036638.0,21.939999762895678,66623837.0,,,,,
MADISON SQUARE GRDN SPRT COR,0.03157790013299677,Add 28.51%,165184.0,401.8400026636962,66377539.0,,,,,
